"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","CP_EIA-6032-20_AVX-F_Pad2.25x2.35mm_HandSolder","19.5mm","47.45mm","19.5mm","47.45mm","19.5mm","44.9mm","T","90","100UF",
"C10","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","56.888mm","14.25mm","56.888mm","14.25mm","56.0255mm","14.25mm","T","0","1UF",
"C2","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","35.5mm","49.6375mm","35.5mm","49.6375mm","35.5mm","48.775mm","T","90","10UF",
"C3","CP_EIA-7343-40_Kemet-Y_Pad2.25x2.55mm_HandSolder","62.25mm","48.95mm","62.25mm","48.95mm","62.25mm","45.75mm","T","90","470UF",
"C4","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","35.5mm","46.3625mm","35.5mm","46.3625mm","35.5mm","47.225mm","T","270","100NF",
"C5","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","14.438mm","2.0mm","14.438mm","2.0mm","12.8755mm","2.0mm","T","0","C",
"C6","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","57.612mm","45.25mm","57.612mm","45.25mm","58.4745mm","45.25mm","T","180","1UF",
"C7","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","66.888mm","43.25mm","66.888mm","43.25mm","67.7505mm","43.25mm","T","180","100NF",
"C8","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","70.362mm","43.25mm","70.362mm","43.25mm","69.4995mm","43.25mm","T","0","33PF",
"C9","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","66.862mm","44.75mm","66.862mm","44.75mm","67.7245mm","44.75mm","T","180","10PF",
"Card1","TF-SMD_TF-04A","66.5mm","6.5mm","66.5mm","6.5mm","70.331209mm","5.094237mm","T","0","TF-04A",
"D1","LED_0603_1608Metric_Castellated","12.438mm","52.75mm","12.438mm","52.75mm","11.6255mm","52.75mm","T","0","LED",
"D2","LED_0603_1608Metric_Castellated","83.438mm","47.75mm","83.438mm","47.75mm","82.6255mm","47.75mm","T","0","LED",
"Q1","SOT-23","79.0mm","8.0mm","79.0mm","8.0mm","80.0mm","7.05mm","T","180","Q_NMOS_GSD",
"Q10","SOT-23","82.0mm","15.95mm","82.0mm","15.95mm","83.0mm","15.0mm","T","180","Q_NMOS_GSD",
"Q11","SOT-23","82.0mm","24.0mm","82.0mm","24.0mm","83.0mm","23.05mm","T","180","Q_NMOS_GSD",
"Q12","SOT-23","81.75mm","43.75mm","81.75mm","43.75mm","80.75mm","44.7mm","T","0","Q_NPN_BEC",
"Q2","SOT-23","79.0mm","3.5mm","79.0mm","3.5mm","80.0mm","2.55mm","T","180","Q_NMOS_GSD",
"Q3","SOT-23","49.75mm","31.0mm","49.75mm","31.0mm","48.75mm","31.95mm","T","0","Q_NMOS_GSD",
"Q4","SOT-23","49.75mm","35.0mm","49.75mm","35.0mm","48.75mm","35.95mm","T","0","Q_NMOS_GSD",
"Q5","SOT-23","41.0mm","48.25mm","41.0mm","48.25mm","41.95mm","49.25mm","T","270","Q_NMOS_GSD",
"Q6","SOT-23","44.5mm","48.25mm","44.5mm","48.25mm","45.45mm","49.25mm","T","270","Q_NMOS_GSD",
"Q7","SOT-23","48.0mm","48.25mm","48.0mm","48.25mm","48.95mm","49.25mm","T","270","Q_NMOS_GSD",
"Q8","SOT-23","51.45mm","48.25mm","51.45mm","48.25mm","52.4mm","49.25mm","T","270","Q_NMOS_GSD",
"Q9","SOT-23","82.0mm","20.0mm","82.0mm","20.0mm","83.0mm","19.05mm","T","180","Q_NMOS_GSD",
"R1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","12.652mm","50.5mm","12.652mm","50.5mm","12.0545mm","50.5mm","T","0","1k",
"R10","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","41.402mm","45.5mm","41.402mm","45.5mm","40.8045mm","45.5mm","T","0","4.7K",
"R11","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","44.902mm","45.5mm","44.902mm","45.5mm","44.3045mm","45.5mm","T","0","4.7K",
"R14","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","48.402mm","45.5mm","48.402mm","45.5mm","47.8045mm","45.5mm","T","0","4.7K",
"R15","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","51.902mm","45.5mm","51.902mm","45.5mm","51.3045mm","45.5mm","T","0","4.7K",
"R18","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","10.848mm","46.75mm","10.848mm","46.75mm","11.4455mm","46.75mm","T","180","5.1K",
"R19","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","10.848mm","43.75mm","10.848mm","43.75mm","11.4455mm","43.75mm","T","180","5.1K",
"R2","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","77.5mm","5.9025mm","77.5mm","5.9025mm","77.5mm","6.5mm","T","270","4.7K",
"R20","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","79.5mm","15.4025mm","79.5mm","15.4025mm","79.5mm","16.0mm","T","270","4.7K",
"R21","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","79.5mm","23.5mm","79.5mm","23.5mm","79.5mm","24.0975mm","T","270","4.7K",
"R22","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","79.5mm","19.4025mm","79.5mm","19.4025mm","79.5mm","20.0mm","T","270","4.7K",
